#{"t_start": 1729511790.5114403, "env_id": "CarRacingCustomTest-v0"}
r,l,t
29418.018764,1000,70.347615
83565.369757,1000,142.034377
44456.154357,1000,214.094659
31916.220203,1000,286.606283
41471.590193,1000,361.051766
38732.032605,1000,433.612589
54620.573509,1000,556.128
46916.590193,1000,629.094645
38223.57432,1000,703.059015
43462.564219,1000,778.939821
79633.053729,1000,854.963298
62349.027666,1000,934.976349
73204.78347,1000,1062.999532
57083.147915,1000,1138.831017
79981.638836,1000,1216.640513
85813.503714,1000,1290.321052
60844.300815,1000,1370.295317
79605.769768,1000,1443.405842
58102.046542,1000,1571.829242
54832.513878,1000,1651.61783
170236.119122,1000,1741.207628
73108.369641,1000,1818.943699
129754.685431,1000,1894.959109
86384.068147,1000,1967.264102
83454.663715,1000,2038.125448
124133.416688,1000,2158.01499
155693.79196,1000,2226.650417
118957.93473,1000,2296.382631
54047.103731,1000,2368.201022
163707.001815,1000,2441.694309
154850.293011,1000,2543.373825
133799.787717,1000,2676.657492
173922.665604,1000,2797.244238
194938.695456,1000,2897.38702
166423.403379,1000,2996.911263
58249.579048,1000,3127.398897
240193.473309,1000,3258.940549
173042.119483,1000,3442.994464
292889.630486,1000,3573.345641
273662.603602,1000,3709.274529
223478.363592,1000,3850.718045
177359.900683,1000,3990.821831
204157.492448,1000,4121.341902
172144.964009,1000,4255.209356
283394.969119,1000,4335.407586
78452.740986,1000,4444.057636
201910.875907,1000,4547.73618
57886.231822,1000,4620.45033
79054.616702,1000,4693.686395
242934.205814,1000,4770.492336
201494.334553,1000,4902.430337
235027.173694,1000,4984.18278
257612.463208,1000,5069.067905
215523.89065,1000,5155.500082
241206.751158,1000,5239.717334
175807.072018,1000,5321.543551
167831.480302,1000,5456.314677
208039.447335,1000,5535.947648
231986.200582,1000,5615.987227
216902.634149,1000,5696.953665
277139.563479,1000,5776.156091
173245.189182,1000,5881.638466
211029.653984,1000,6118.579067
169475.711072,1000,6270.962778
205935.875907,1000,6409.296206
149500.174241,1000,6516.03955
235027.550537,1000,6591.063226
195309.398074,1000,6671.442076
176295.407299,1000,6815.62335
207992.092838,1000,6929.211543
121349.32188,1000,7037.020405
219069.379308,1000,7122.793839
209283.912804,1000,7205.89118
173691.410577,1000,7285.764286
183244.407653,1000,7369.465829
204653.82318,1000,7512.187386
262679.048176,1000,7599.257506
197158.494954,1000,7684.017279
212137.196846,1000,7771.293291
201737.097711,1000,7852.893826
305520.731942,1000,7938.276526
188000.210545,1000,8112.419763
196275.401314,1000,8207.851132
214145.878543,1000,8321.413395
181554.459442,1000,8442.959289
201195.469744,1000,8580.498208
190862.370923,1000,8720.965488
145204.60413,1000,8955.900844
213912.046068,1000,9098.875995
263117.109673,1000,9240.160988
232977.696183,1000,9381.861789
258713.131546,1000,9528.2747
244966.676482,1000,9685.998658
183546.858354,1000,9822.856444
228908.278504,1000,9897.970008
189362.28628,1000,9992.429613
176459.554814,1000,10139.562102
186885.626737,1000,10278.237318
189245.418145,1000,10383.417368
216195.229648,1000,10499.757432
226772.748494,1000,10666.438395
198908.150343,1000,10766.425104
184794.433858,1000,10918.713361
218024.662121,1000,11075.284757
200621.661148,1000,11233.458492
187483.808238,1000,11390.662375
127231.259871,1000,11652.894529
237937.52231,1000,11816.275104
189160.665823,1000,11964.812647
192784.215947,1000,12139.02837
217197.624027,1000,12281.081669
180521.493084,1000,18932.745303
261821.155295,1000,19088.568517
178796.501736,1000,19165.348068
311081.513574,1000,19235.117848
65191.667413,1000,19317.477313
177752.248155,1000,19406.684015
243179.007775,1000,19484.600493
224973.362275,1000,19623.378422
207638.797985,1000,19700.728053
356506.097056,1000,19779.260081
272993.957331,1000,19860.689218
352095.554996,1000,19979.512266
176877.28394,1000,20066.42479
211560.244912,1000,20135.071661
245392.702308,1000,20249.981802
272036.871223,1000,20320.00671
212919.696616,1000,20389.180962
385520.53675,1000,20466.184245
396301.84776,1000,20541.076238
311022.690044,1000,20617.760394
257809.528198,1000,20744.961479
279863.82296,1000,20819.677609
384290.156169,1000,20897.17953
227062.011697,1000,20975.4709
349013.413501,1000,21053.676092
214147.540948,1000,21130.967935
228249.374696,1000,21259.796018
220517.562837,1000,21337.79267
207220.835665,1000,21413.426291
203865.76796,1000,21506.541751
225343.69444,1000,21598.142021
357799.015074,1000,21677.260403
231228.145346,1000,21815.367484
233349.088723,1000,21884.841515
129409.061109,1000,21959.178114
172957.00959,1000,22041.755908
343980.752846,1000,22124.417349
156289.640386,1000,22205.463613
193391.386462,1000,22280.318084
187599.764796,1000,22404.131724
240120.073559,1000,22484.957678
218748.089938,1000,22565.01797
251392.353365,1000,22642.861718
162289.969984,1000,22720.896719
201099.178184,1000,22797.845381
200475.965784,1000,22931.884531
166686.413413,1000,23009.598754
255557.331741,1000,23081.991274
210972.289227,1000,23153.189488
111531.655128,1000,23236.817192
218303.153899,1000,23312.944472
211928.888329,1000,23439.934911
150366.131972,1000,23546.514976
114490.166415,1000,23654.915019
116091.095687,1000,23765.524837
207557.123822,1000,23872.287969
158245.438119,1000,23985.914594
164578.512591,1000,24169.291438
211241.352097,1000,24279.362729
188136.876895,1000,24383.455023
99614.447335,1000,24490.316501
211915.493511,1000,24599.303545
171278.757019,1000,24706.951005
222211.655128,1000,24816.518425
206455.788548,1000,24989.513952
175777.696183,1000,25090.534065
249189.679414,1000,25192.342208
206552.360401,1000,25292.345871
230624.099845,1000,25393.090473
200757.673936,1000,25500.399948
171941.352097,1000,25664.281469
181614.061929,1000,25733.442173
182531.655128,1000,25804.524008
134210.571955,1000,25879.478454
191860.071744,1000,25948.001199
187548.641601,1000,26018.027065
155808.863834,1000,26136.005017
259751.636511,1000,26205.456497
369199.820884,1000,26274.727346
244213.920403,1000,26345.190792
191303.435431,1000,26414.505893
102024.607911,1000,26484.303261
258770.855643,1000,26603.85922
333678.153899,1000,26673.23006
106044.731093,1000,26741.775315
177773.608826,1000,26811.0847
119381.197059,1000,26879.941812
344722.735745,1000,26949.643988
187551.477411,1000,27021.612497
212466.200582,1000,27146.320262
236476.988864,1000,27216.36413
160643.018764,1000,27288.560144
297027.125293,1000,27360.513542
172668.018764,1000,27432.088593
335080.106676,1000,27503.380079
327809.240138,1000,27620.016622
257242.368206,1000,27688.081372
71202.86197,1000,27759.545975
194911.221181,1000,27836.237343
186468.018764,1000,27911.908679
353236.859344,1000,27983.006904
220981.744254,1000,28100.912872
295948.594304,1000,28167.608277
192832.278692,1000,28242.027706
226543.470028,1000,28311.375344
211275.613701,1000,28380.970334
309988.629451,1000,28463.039576
287141.198841,1000,28616.945112
329763.524382,1000,28708.026838
299360.709794,1000,28801.379409
215195.229648,1000,28890.668777
76400.843191,1000,28984.870992
329284.807085,1000,29074.857551
192918.787995,1000,29166.905495
302829.092589,1000,29322.386351
167636.945318,1000,29414.475111
154416.245714,1000,29507.509932
132815.669771,1000,29582.768497
119379.914675,1000,29652.778061
264177.512435,1000,29723.175468
139870.642671,1000,29858.92268
274355.115538,1000,29954.106417
171430.011384,1000,30050.333705
218609.490336,1000,30153.456327
285115.753956,1000,30258.744547
312810.085185,1000,30361.705192
252982.564219,1000,30530.260313
148672.578035,1000,30627.768627
219749.246201,1000,30723.115297
170150.895476,1000,30804.244889
162138.315794,1000,30875.691036
77987.463208,1000,30943.10059
201536.789528,1000,31057.039847
66914.893764,1000,31124.704044
139282.883629,1000,31192.18948
212208.60917,1000,31259.013194
162953.485892,1000,31328.514167
144730.742778,1000,31396.49913
48076.443672,1000,31464.04683
170679.964156,1000,31579.305193
210655.651273,1000,31647.111875
201592.580167,1000,31714.286807
249161.098349,1000,31781.471024
242623.432777,1000,31850.120067
148105.518764,1000,31914.935638
183064.458893,1000,32028.967674
155405.781002,1000,32096.349514
119067.272495,1000,32163.158506
206647.610601,1000,32230.64604
231580.159339,1000,32299.81685
185229.243254,1000,32367.12077
153888.606999,1000,32484.756161
176793.918045,1000,32555.317415
233825.553011,1000,32623.944005
124045.694605,1000,32691.959371
249813.920403,1000,32761.196903
132024.674054,1000,32830.422428
216316.456264,1000,32948.44577
168909.343685,1000,33017.265921
217863.82296,1000,33087.121325
188481.744254,1000,33157.772787
139157.744791,1000,33226.256593
121550.857048,1000,33294.693238
114468.348797,1000,33363.153626
131656.691903,1000,33478.761381
60852.764527,1000,33546.942374
137216.650983,1000,33613.889595
199040.605637,1000,33683.077739
187603.443118,1000,33758.611585
240289.357676,1000,33828.1752
208220.283572,1000,33969.444928
75308.096585,1000,34068.137113
227027.393764,1000,34137.605934
69761.958158,1000,34209.441395
102347.794045,1000,34279.449751
68638.05031,1000,34348.391445
58027.173694,1000,34470.112763
179578.442217,1000,34543.291311
150314.871911,1000,34617.047527
227050.161621,1000,34686.299419
153433.592534,1000,34754.673224
193434.205814,1000,34822.508689
127498.084123,1000,34941.000793
195270.255186,1000,35010.248387
94005.754613,1000,35083.642287
216447.588656,1000,35155.45514
212280.975575,1000,35228.719661
118335.254259,1000,35299.558063
134647.106216,1000,35369.823918
182786.911272,1000,35497.210438
34213.034841,1000,35568.506268
220455.897552,1000,35640.942328
262257.719761,1000,35713.610375
163026.024806,1000,35785.159298
155843.30612,1000,35861.434238
211569.452456,1000,36033.494915
256944.997181,1000,36133.455642
123868.953343,1000,36239.64981
88941.400059,1000,36342.351744
169575.184888,1000,36443.558786
227761.644262,1000,36544.140986
146047.907032,1000,36719.560472
94935.043854,1000,36822.671991
127844.236529,1000,36931.521766
233121.087356,1000,37025.801196
117059.107873,1000,37114.4217
182190.969584,1000,37204.233546
147983.718423,1000,37363.463923
140978.718352,1000,37458.930319
83974.710214,1000,37551.085574
192445.391027,1000,37620.454683
93154.177934,1000,37688.53282
93423.414447,1000,37756.939307
77492.948736,1000,37825.611258
81419.571559,1000,37944.583117
108230.08773,1000,38012.227476
205107.948093,1000,38080.147786
88386.873983,1000,38148.186817
108695.291491,1000,38216.665968
141884.068147,1000,38285.640828
84469.261,1000,38404.892982
155238.690142,1000,38473.364771
178550.5691,1000,38542.747972
184502.619524,1000,38610.056147
78455.001013,1000,38685.727842
183558.787995,1000,38754.580712
140311.903656,1000,38874.648779
170518.018764,1000,38943.019512
170474.291827,1000,39011.473337
215130.518764,1000,39079.643918
83839.11511,1000,39145.981126
139018.018764,1000,39214.938527
239171.374469,1000,39335.808486
46395.291491,1000,39403.324015
153556.334915,1000,39471.099293
139462.136411,1000,39539.34811
162928.475038,1000,39607.169649
223517.642824,1000,39676.022507
154399.031422,1000,39744.486649
101866.492046,1000,39864.853497
229018.19298,1000,39932.901968
164825.553011,1000,40001.111344
142850.511346,1000,40069.80355
90585.494492,1000,40138.136891
198744.79779,1000,40206.754944
138757.360457,1000,40327.08729
189185.200895,1000,40394.488738
91703.074115,1000,40463.995197
116129.057725,1000,40533.76429
150130.04408,1000,40602.053574
89410.830266,1000,40670.952858
124451.686386,1000,40792.550792
91200.486296,1000,40860.990838
130546.308238,1000,40930.445172
80125.535104,1000,40998.705722
186586.45848,1000,41066.852319
88946.896652,1000,41136.148229
145489.936572,1000,41256.950648
112342.86539,1000,41324.468824
77891.352097,1000,41392.12469
170235.394651,1000,41460.201212
163626.973988,1000,41527.769889
137743.66452,1000,41595.369934
77223.57432,1000,41664.646723
222593.30612,1000,41785.467637
90544.685431,1000,41854.473193
123535.799919,1000,41924.221742
104534.800771,1000,41992.572082
97856.543354,1000,42060.736618
169723.57432,1000,42128.991609
144676.379968,1000,42249.881795
199310.875907,1000,42318.486047
155640.240986,1000,42385.218755
191225.490028,1000,42454.474971
129206.94092,1000,42524.077868
98894.133414,1000,42593.955079
92534.31913,1000,42712.503041
200208.422804,1000,42780.231001
118596.590193,1000,42848.61949
91762.446009,1000,42917.17762
142486.955641,1000,42984.832587
172684.3824,1000,43053.191355
185270.208545,1000,43173.45214
163636.246189,1000,43242.222168
145696.638293,1000,43311.572632
159308.863834,1000,43380.567851
216372.479731,1000,43448.548163
175918.018764,1000,43517.148231
155593.188832,1000,43586.189089
114463.392429,1000,43704.79669
175974.470377,1000,43773.071684
180168.018764,1000,43842.220399
126711.642925,1000,43910.166036
190160.951626,1000,43978.141568
155633.135043,1000,44047.187647
107522.185431,1000,44166.327345
44714.99863,1000,44234.990397
185259.930529,1000,44303.500955
173992.343088,1000,44371.369601
156473.666605,1000,44439.463154
165248.604845,1000,44507.607966
114881.834553,1000,44626.50919
109358.654215,1000,44694.489509
117466.579915,1000,44763.351884
204409.025958,1000,44831.424036
134300.949278,1000,44899.974645
175739.925119,1000,44967.652439
187853.000449,1000,45086.258814
244035.177436,1000,45154.170167
133980.518764,1000,45222.31325
158105.518764,1000,45290.232213
135634.685431,1000,45358.756424
182355.518764,1000,45427.090647
168097.279214,1000,45495.766831
183047.139643,1000,45613.418307
173307.304478,1000,45678.332295
180003.106483,1000,45747.077852
188418.854884,1000,45814.98245
115317.855898,1000,45883.307079
170478.829575,1000,45950.967206
300030.895018,1000,46070.394389
161562.667593,1000,46138.106147
201285.260143,1000,46206.773787
191992.343088,1000,46275.553622
199847.072818,1000,46343.485522
173001.352097,1000,46412.370477
266885.190481,1000,46532.377568
178683.079005,1000,46600.010126
168335.157574,1000,46668.761693
176961.864918,1000,46737.286661
201380.437065,1000,46805.66831
183326.292145,1000,46873.802401
142026.993123,1000,46994.855277
130491.86218,1000,47063.244885
192148.410921,1000,47130.980169
224128.141463,1000,47200.032998
197684.910656,1000,47269.197437
187581.133518,1000,47337.100545
164347.420757,1000,47405.299525
189084.951671,1000,47524.333256
208647.264047,1000,47591.219906
173712.236451,1000,47659.780397
169410.920972,1000,47728.399486
54785.040041,1000,47797.171325
210843.4286,1000,47865.501699
221595.604971,1000,47985.513066
183258.050918,1000,48054.30443
130753.158083,1000,48122.265488
151586.703885,1000,48190.492482
197443.490462,1000,48258.099534
213334.685431,1000,48325.818182
191785.766204,1000,48446.544352
201083.273001,1000,48514.735094
281256.254058,1000,48584.54607
175913.838162,1000,48653.953199
141462.136411,1000,48722.673846
183461.948476,1000,48790.683364
212955.897552,1000,48913.987745
187480.92199,1000,48980.377926
187488.140715,1000,49048.734138
168004.496751,1000,49117.491834
202631.686584,1000,49186.924365
215848.720518,1000,49254.18955
178725.395813,1000,49322.453409
111580.606177,1000,49442.479368
204449.708905,1000,49511.173568
289193.473309,1000,49580.887856
204949.708905,1000,49649.26403
205911.791006,1000,49716.92395
119244.105721,1000,49785.695675
101932.919426,1000,49905.789028
148980.316499,1000,49973.408093
172192.073747,1000,50041.620335
123019.370115,1000,50109.90807
78050.581042,1000,50179.036703
322073.556223,1000,50247.021443
62495.002891,1000,50367.654271
186587.066383,1000,50435.633337
127855.518764,1000,50504.402344
165897.945771,1000,50573.167798
188722.83604,1000,50641.347276
104760.124027,1000,50709.603183
90221.646524,1000,50832.29308
155025.161621,1000,50900.519665
189047.877421,1000,50968.975813
58227.498318,1000,51036.983228
74710.502424,1000,51106.335626
117491.962426,1000,51174.796593
123891.945144,1000,51243.29334
158504.936327,1000,51363.850388
166582.564219,1000,51431.9795
